"","City","lon","lat"
"202","Chicago, IL",-87.6297982,41.8781136
"203","Saint Petersburg, FL",-82.6267345,27.7518284
"204","New York, NY",-74.0059728,40.7127753
"205","Charlotte, NC",-80.8431267,35.2270869
"206","Playa Vista, CA",-118.4265872,33.9719826
"207","Raleigh, NC",-78.6381787,35.7795897
"208","San Francisco, CA",-122.4194155,37.7749295
"209","Chapel Hill, NC",-79.0558445,35.9131996
"210","Philadelphia, PA",-75.1652215,39.9525839
"211","Corning, NY",-77.0546903,42.1428521
"212","Saint Louis, MO",-90.1994042,38.6270025
"213","Washington, DC",-77.0368707,38.9071923
"214","Atlanta, GA",-84.3879824,33.7489954
"215","Chicago, IL",-87.6297982,41.8781136
"216","Pittsburgh, PA",-79.9958864,40.4406248
"217","San Francisco, CA",-122.4194155,37.7749295
"218","New York, NY",-74.0059728,40.7127753
"219","Jericho, NY",-73.5398476,40.7920441
"220","Miami, FL",-80.1917902,25.7616798
"221","Franklin, TN",-86.8688899,35.9250637
"222","Charlotte, NC",-80.8431267,35.2270869
"223","San Diego, CA",-117.1610838,32.715738
"224","Columbus, OH",-82.9987942,39.9611755
"225","Chicago, IL",-87.6297982,41.8781136
"226","San Mateo, CA",-122.3255254,37.5629917
"227","Boston, MA",-71.0588801,42.3600825
"228","San Francisco, CA",-122.4194155,37.7749295
"229","Menlo Park, CA",-122.1817252,37.4529598
"230","Emeryville, CA",-122.2852473,37.831316
"231","Franklin, TN",-86.8688899,35.9250637
"232","Minnesota",-94.6858998,46.729553
"233","Morris Plains, NJ",-74.4818698,40.8395922
"234","San Francisco, CA",-122.4194155,37.7749295
"235","Whitehouse Station, NJ",-74.7702576,40.6155663
"236","New York, NY",-74.0059728,40.7127753
"237","Horsham, PA",-75.1285061,40.1784422
"238","Chicago, IL",-87.6297982,41.8781136
"239","Harrisburg, PA",-76.8867008,40.2731911
"240","New York, NY",-74.0059728,40.7127753
"241","Atlanta, GA",-84.3879824,33.7489954
"242","Ocala, FL",-82.1400923,29.1871986
"243","Alexandria, VA",-77.0469214,38.8048355
"244","Santa Clara, CA",-121.9552356,37.3541079
"245","New York, NY",-74.0059728,40.7127753
"246","Portland, OR",-122.6764815,45.5230622
"247","Fort Meade, MD",-76.7267773,39.1137602
"248","New York, NY",-74.0059728,40.7127753
"249","Huntington Beach, CA",-117.9988026,33.6594835
"250","Rockville, MD",-77.1527578,39.0839973
"251","El Segundo, CA",-118.4164652,33.9191799
"252","San Francisco, CA",-122.4194155,37.7749295
"253","Latham, NY",-73.760537,42.7477661
"254","Boston, MA",-71.0588801,42.3600825
"255","New York, NY",-74.0059728,40.7127753
"256","New York, NY",-74.0059728,40.7127753
"257","Boulder, CO",-105.2705456,40.0149856
"258","Chicago, IL",-87.6297982,41.8781136
"259","Raleigh, NC",-78.6381787,35.7795897
"260","Moline, IL",-90.5151342,41.5067003
"261","Irving, TX",-96.9488945,32.8140177
"262","Columbus, OH",-82.9987942,39.9611755
"263","Broomfield, CO",-105.0866504,39.9205411
"264","Tempe, AZ",-111.9400054,33.4255104
"265","Redondo Beach, CA",-118.3884078,33.8491816
"266","Plymouth Meeting, PA",-75.2743467,40.1023319
"267","Long Island City, NY",-73.9485424,40.744679
"268","Seattle, WA",-122.3320708,47.6062095
"269","Saint Louis, MO",-90.1994042,38.6270025
"270","Livonia, MI",-83.3527097,42.36837
"271","San Francisco, CA",-122.4194155,37.7749295
"272","San Francisco, CA",-122.4194155,37.7749295
"273","Austin, TX",-97.7430608,30.267153
"274","Carlsbad, CA",-117.3505939,33.1580933
"275","San Francisco, CA",-122.4194155,37.7749295
"276","Memphis, TN",-90.0489801,35.1495343
"277","New York, NY",-74.0059728,40.7127753
"278","New York, NY",-74.0059728,40.7127753
"279","Columbus, IN",-85.9213796,39.2014404
"280","New York, NY",-74.0059728,40.7127753
"281","East Hanover, NJ",-74.3647247,40.8200623
"282","Chicago, IL",-87.6297982,41.8781136
"283","Henderson, NV",-114.9817213,36.0395247
"284","Charlotte, NC",-80.8431267,35.2270869
"285","Newark, DE",-75.7496572,39.6837226
"286","Bellevue, WA",-122.2015159,47.6101497
"287","Lowell, MA",-71.3161718,42.6334247
"288","Cincinnati, OH",-84.5120196,39.1031182
"289","Las Vegas, NV",-115.1398296,36.1699412
"290","New York, NY",-74.0059728,40.7127753
"291","San Francisco, CA",-122.4194155,37.7749295
"292","New York, NY",-74.0059728,40.7127753
"293","San Diego, CA",-117.1610838,32.715738
"294","San Francisco, CA",-122.4194155,37.7749295
"295","New York, NY",-74.0059728,40.7127753
"296","Charlottesville, VA",-78.4766781,38.0293059
"297","New York, NY",-74.0059728,40.7127753
"298","Honolulu, HI",-157.8583333,21.3069444
"299","Livermore, CA",-121.7680088,37.6818745
"300","East Hanover, NJ",-74.3647247,40.8200623
"301","Boston, MA",-71.0588801,42.3600825
"302","California",-119.4179324,36.778261
"303","Santa Monica, CA",-118.4911912,34.0194543
"304","Chicago, IL",-87.6297982,41.8781136
"305","San Francisco, CA",-122.4194155,37.7749295
"306","Washington, DC",-77.0368707,38.9071923
"307","New York, NY",-74.0059728,40.7127753
"308","New York, NY",-74.0059728,40.7127753
"309","New York, NY",-74.0059728,40.7127753
"310","Chicago, IL",-87.6297982,41.8781136
"311","Waterloo, SC",-82.0592766,34.3515126
"312","Bellevue, WA",-122.2015159,47.6101497
"313","Los Angeles, CA",-118.2436849,34.0522342
"314","McLean, VA",-77.1772604,38.9338676
"315","Washington, DC",-77.0368707,38.9071923
"316","Irvine, CA",-117.8265049,33.6845673
"317","Washington, DC",-77.0368707,38.9071923
"318","Cleveland, OH",-81.6943605,41.49932
"319","Santa Clara, CA",-121.9552356,37.3541079
"320","Palo Alto, CA",-122.1430195,37.4418834
"321","Los Angeles, CA",-118.2436849,34.0522342
"322","New York, NY",-74.0059728,40.7127753
"323","South San Francisco, CA",-122.4077498,37.654656
"324","Boston, MA",-71.0588801,42.3600825
"325","Schenectady, NY",-73.9395687,42.8142432
"326","New York, NY",-74.0059728,40.7127753
"327","Atlanta, GA",-84.3879824,33.7489954
"328","San Jose, CA",-121.8863286,37.3382082
"329","New York, NY",-74.0059728,40.7127753
"330","New York, NY",-74.0059728,40.7127753
"331","Santa Clara, CA",-121.9552356,37.3541079
"332","San Jose, CA",-121.8863286,37.3382082
"333","New York, NY",-74.0059728,40.7127753
"334","Los Angeles, CA",-118.2436849,34.0522342
"335","Cambridge, MA",-71.1097335,42.3736158
"336","Santa Barbara, CA",-119.6981901,34.4208305
"337","Bellevue, WA",-122.2015159,47.6101497
"338","Pleasanton, CA",-121.8746789,37.6624312
"339","Bellevue, WA",-122.2015159,47.6101497
"340","Houston, TX",-95.3698028,29.7604267
"341","San Jose, CA",-121.8863286,37.3382082
"342","Indianapolis, IN",-86.158068,39.768403
"343","Durham, NC",-78.898619,35.9940329
"344","San Francisco, CA",-122.4194155,37.7749295
"345","New York, NY",-74.0059728,40.7127753
"346","Burlingame, CA",-122.34809,37.5778696
"347","Commerce, CA",-118.1597929,34.0005691
"348","Jersey City, NJ",-74.0776417,40.7281575
"349","New York, NY",-74.0059728,40.7127753
"350","Woburn, MA",-71.1522765,42.4792618
"351","New York, NY",-74.0059728,40.7127753
"352","Rowayton, CT",-73.4386466,41.0676906
"353","New York, NY",-74.0059728,40.7127753
"354","San Francisco, CA",-122.4194155,37.7749295
"355","Chicago, IL",-87.6297982,41.8781136
"356","Chicago, IL",-87.6297982,41.8781136
"357","Huntsville, AL",-86.5861037,34.7303688
"358","Mountain View, CA",-122.0838511,37.3860517
"359","Washington, DC",-77.0368707,38.9071923
"360","West Lafayette, IN",-86.9080655,40.4258686
"361","New York, NY",-74.0059728,40.7127753
"362","Plymouth, MN",-93.4555093,45.0105194
"363","San Francisco, CA",-122.4194155,37.7749295
"364","San Carlos, CA",-122.2605222,37.5071591
"365","Quincy, MA",-71.0022705,42.2528772
"366","Brooklyn, NY",-73.9441579,40.6781784
"367","Chicago, IL",-87.6297982,41.8781136
"368","New York, NY",-74.0059728,40.7127753
"369","Mountain View, CA",-122.0838511,37.3860517
"370","Vienna, VA",-77.2652604,38.9012225
"371","Illinois",-89.3985283,40.6331249
"372","Atlanta, GA",-84.3879824,33.7489954
"373","Mountain View, CA",-122.0838511,37.3860517
"374","Dearborn, MI",-83.1763145,42.3222599
"375","Ambler, PA",-75.2215651,40.1545535
"376","Seattle, WA",-122.3320708,47.6062095
"377","Seattle, WA",-122.3320708,47.6062095
"378","New York, NY",-74.0059728,40.7127753
"379","Port Washington, NY",-73.6981858,40.8256561
"380","Hoboken, NJ",-74.0323626,40.7439905
"381","Redwood City, CA",-122.2363548,37.4852152
"382","New York, NY",-74.0059728,40.7127753
"383","Indianapolis, IN",-86.158068,39.768403
"384","New York, NY",-74.0059728,40.7127753
"385","Seattle, WA",-122.3320708,47.6062095
"386","Washington, DC",-77.0368707,38.9071923
"387","Arden, NC",-82.5166982,35.4661613
"388","New York, NY",-74.0059728,40.7127753
"389","Santa Clara, CA",-121.9552356,37.3541079
"390","Cartersville, GA",-84.7999382,34.1650972
"391","Portland, OR",-122.6764815,45.5230622
"392","Towson, MD",-76.6019125,39.4014955
"393","Boston, MA",-71.0588801,42.3600825
"394","Menlo Park, CA",-122.1817252,37.4529598
"395","Boston, MA",-71.0588801,42.3600825
"396","Princeton, NJ",-74.6672226,40.3572976
"397","Seattle, WA",-122.3320708,47.6062095
"398","Cambridge, MA",-71.1097335,42.3736158
"399","Los Angeles, CA",-118.2436849,34.0522342
"400","Mountain View, CA",-122.0838511,37.3860517
"401","New York, NY",-74.0059728,40.7127753
"402","Long Island City, NY",-73.9485424,40.744679
"403","Durham, NC",-78.898619,35.9940329
"404","Woodbury, MN",-92.9593797,44.9238552
"405","Cincinnati, OH",-84.5120196,39.1031182
"406","Palo Alto, CA",-122.1430195,37.4418834
"407","Alexandria, VA",-77.0469214,38.8048355
"408","Shire, TX",-95.4148452,29.7338576
"409","Pasadena, CA",-118.1445155,34.1477849
"410","New York, NY",-74.0059728,40.7127753
"411","Palo Alto, CA",-122.1430195,37.4418834
"412","Neenah, WI",-88.462609,44.1858193
"413","Gaithersburg, MD",-77.2013705,39.1434406
"414","Scottsdale, AZ",-111.9260519,33.4941704
"415","Cambridge, MA",-71.1097335,42.3736158
"416","McLean, VA",-77.1772604,38.9338676
"417","Bellevue, WA",-122.2015159,47.6101497
"418","San Francisco, CA",-122.4194155,37.7749295
"419","San Francisco, CA",-122.4194155,37.7749295
"420","San Carlos, CA",-122.2605222,37.5071591
"421","Arlington, VA",-77.0909809,38.8816208
"422","Dallas, TX",-96.7969879,32.7766642
"423","New York, NY",-74.0059728,40.7127753
"424","Adelphi, MD",-76.97192,39.0031656
"425","New York, NY",-74.0059728,40.7127753
"426","Kansas City, MO",-94.5785667,39.0997265
"427","Santa Clara, CA",-121.9552356,37.3541079
"428","Basking Ridge, NJ",-74.5493284,40.7066174
"429","New York, NY",-74.0059728,40.7127753
