"","Company","Location","Industry","Rating","Salaries","Python","R","SAS","SQL","Java","Tableau","Spark","C","Perl","Excel","Hadoop","NoSQL","HBase","State","max","min","mean"
"638"," Pivotal Labs","New York, NY","Information Technology",4.1,"$86k-$127k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY","127","86",106.5
"641"," Maden Technologies","Fort Belvoir, VA","Information Technology",3.3,"$89k-$140k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"VA","140","89",114.5
"643"," Grant Thornton","Washington, DC","Accounting ; Legal",3.8,"$86k-$129k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"DC","129","86",107.5
"644"," Centra Technology","Arlington, VA","Information Technology",3.3,"$96k-$142k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"VA","142","96",119
"646"," CHEP","Palo Alto, CA","Transportation ; Logistics",3.2,"$112k-$167k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","167","112",139.5
"647"," Xaxis","New York, NY","Business Services",2.7,"$99k-$154k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"NY","154","99",126.5
"648"," Altisource","Boston, MA","Finance",3,"$105k-$149k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MA","149","105",127
"651"," Aetna","Hartford, CT","Insurance",3.3,"$106k-$151k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"CT","151","106",128.5
"653"," Affinitiv","Calabasas, CA","Business Services",2.8,"$92k-$153k(Glassdoor est.)",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"CA","153","92",122.5
"654"," Spotify","Boston, MA","Information Technology",4.3,"$124k-$177k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"MA","177","124",150.5
"656"," Spokeo","Pasadena, CA","Information Technology",3.5,"$121k-$168k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","168","121",144.5
"658"," General Dynamics","Springfield, VA","Aerospace ; Defense",3,"$78k-$118k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"VA","118","78",98
"659"," Robert Half Management Resources","San Francisco, CA","Business Services",3.5,"$121k-$180k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","180","121",150.5
"660"," AmTrust Financial","Cleveland, OH","Insurance",2.9,"$67k-$102k(Glassdoor est.)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"OH","102","67",84.5
"662"," Vertafore","Greenwich, CT","Information Technology",3.1,"$60k-$79k(Glassdoor est.)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"CT","79","60",69.5
"663"," LendingClub","San Francisco, CA","Finance",3.3,"$155k-$219k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA","219","155",187
