"","Company","Location","Industry","Rating","Salaries","Python","R","SAS","SQL","Java","Tableau","Spark","C","Perl","Excel","Hadoop","NoSQL","HBase","State"
"921"," First Orion","  – Little Rock, AR","Telecommunications","5.0","$67k-$105k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"AR"
"924"," Chase","  – New York, NY","Finance","3.5","$93k-$144k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"NY"
"926"," Udacity","  – San Francisco, CA","Education","4.5","$87k-$113k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA"
"927"," Mathematica Policy Research","  – Cambridge, MA","Business Services","3.4","NA",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MA"
"928"," CrowdStrike","  – Remote","Information Technology","4.2","$102k-$145k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"te"
"929"," General Dynamics Information Technology","  – Springfield, VA","Information Technology","3.4","$69k-$104k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"VA"
"930"," Quora, Inc.","  – Mountain View, CA","Information Technology","4.4","$129k-$189k(Glassdoor est.)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA"
"931"," Unified","  – New York, NY","Information Technology","4.4","$88k-$140k(Glassdoor est.)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,"NY"
"934"," S&P Global","  – Charlottesville, VA","Finance","3.3","$92k-$136k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"VA"
"936"," JBCConnect","  – New York, NY","Business Services","4.9","$74k-$117k(Glassdoor est.)",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY"
"937"," Tavant Technologies Inc","  – Santa Clara, CA","Information Technology","3.7","$104k-$151k(Glassdoor est.)",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"CA"
"939"," John Deere","  – Moline, IL","Manufacturing","3.9","$80k-$123k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"IL"
