"","Company","Location","Industry","Rating","Salaries","Python","R","SAS","SQL","Java","Tableau","Spark","C","Perl","Excel","Hadoop","NoSQL","HBase","State"
"21"," PROS","  – Houston, TX","Information Technology","3.8","$76k-$108k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"TX"
"22"," Two Sigma","  – New York, NY","Finance","4.4","$127k-$196k(Glassdoor est.)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY"
"23"," Hulu","  – Santa Monica, CA","Media","4.1","$96k-$140k(Glassdoor est.)",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA"
"24"," ApTask","  – Hoboken, NJ","Business Services","4.4","$93k-$136k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"NJ"
"25"," Esri","  – Redlands, CA","Information Technology","3.7","$111k-$155k(Glassdoor est.)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"CA"
"26"," Bose","  – Framingham, MA","Manufacturing","3.6","$92k-$138k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MA"
"27"," Priceline.com","  – Norwalk, CT","Information Technology","3.2","$92k-$135k(Glassdoor est.)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"CT"
"28"," Morgan Lewis","  – Philadelphia, PA","Accounting &amp; Legal","3.4","$89k-$134k(Glassdoor est.)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"PA"
"29"," 23andMe, Inc.","  – Mountain View, CA","Biotech &amp; Pharmaceuticals","4.7","$94k-$143k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA"
"30"," iHerb","  – United States","Retail","4.0","$79k-$117k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"es"
"31"," Driscoll's","  – Watsonville, CA","Agriculture &amp; Forestry","3.5","NA",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"CA"
"32"," Dow Jones","  – New York, NY","Media","3.1","$61k-$79k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"NY"
"33"," WellCare","  – Tampa, FL","Insurance","3.3","$81k-$120k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"FL"
"34"," Citadel","  – New York, NY","Finance","3.5","$117k-$174k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"NY"
"35"," Uber","  – San Francisco, CA","Information Technology","4.2","$100k-$144k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA"
"36"," Riverside Research Institute","  – Wright Patterson AFB, OH","Government","4.1","$62k-$90k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"OH"
"37"," Two Sigma","  – New York, NY","Finance","4.4","$83k-$151k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY"
"38"," Intermountain Healthcare","  – Salt Lake City, UT","Health Care","3.8","$89k-$112k(Glassdoor est.)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"UT"
"39"," Lyft","  – San Francisco, CA","Transportation &amp; Logistics","3.8","$129k-$179k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA"
"40"," Grammarly","  – San Francisco, CA","Consumer Services","4.3","$94k-$136k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA"
"43"," Sony PlayStation","  – San Mateo, CA","Media","3.4","$96k-$122k(Glassdoor est.)",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA"
"44"," Thumbtack","  – San Francisco, CA","Information Technology","4.5","$39k-$64k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA"
"45"," Walmart eCommerce","  – Sunnyvale, CA","Information Technology","3.2","$108k-$149k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"CA"
"46"," Aetna","  – New York, NY","Insurance","3.3","$123k-$183k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY"
"49"," NSA","  – Fort Meade, MD","Government","3.6","$80k-$126k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"MD"
"50"," ACI Worldwide","  – Providence, RI","Information Technology","3.2","$103k-$143k(Glassdoor est.)",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"RI"
"51",NA," Milwaukee, WI","Information Technology","2.8","$76k-$96k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WI"
"52"," Dell","  – Round Rock, TX","Information Technology","3.7","$75k-$108k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"TX"
"53"," LearnVest","  – New York, NY","Information Technology","3.4","$114k-$179k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"NY"
"54"," LogMeIn","  – Santa Barbara, CA","Information Technology","3.9","$103k-$144k(Glassdoor est.)",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA"
"55",NA," New York, NY","Business Services","4.1","$41k-$54k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY"
"56"," Publishers Clearing House","  – Jericho, NY","Business Services","3.2","$96k-$146k(Glassdoor est.)",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"NY"
"57"," Quora, Inc.","  – Mountain View, CA","Information Technology","4.4","$119k-$175k(Glassdoor est.)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA"
"58"," Wizsolution LLC","  – Princeton, NJ",NA,"2.4","$68k-$105k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NJ"
"59"," Showtime Networks","  – New York, NY","Media","3.5","$96k-$151k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"NY"
"61"," HUNTER Technical Resources","  – Plano, TX","Business Services","4.9","NA",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"TX"
"62"," The Washington Post","  – Washington, DC","Media","4.1","$94k-$140k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"DC"
"63"," University of Washington","  – Seattle, WA","Education","4.1","$72k-$109k(Glassdoor est.)",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"WA"
"64",NA," Austin, TX","Information Technology","4.9","$80k-$122k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"TX"
"65"," Arbor","  – Baltimore, MD","Information Technology","3.3","$139k-$193k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"MD"
"66"," IBM","  – Lansing, MI",NA,"3.5","$63k-$93k(Glassdoor est.)",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MI"
"67"," Deloitte","  – Arlington, VA",NA,"3.8","$120k-$179k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"VA"
"68"," Knowles","  – Itasca, IL","Manufacturing","2.8","$111k-$164k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"IL"
"69"," SeatGeek","  – New York, NY","Information Technology","4.8","$99k-$150k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"NY"
"70"," Expedia","  – Bellevue, WA","Information Technology","3.9","$122k-$171k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"WA"
"71"," Newsela","  – New York, NY","Information Technology","3.8","$122k-$184k(Glassdoor est.)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY"
"72"," ektello","  – Framingham, MA","Business Services","4.1","NA",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"MA"
"73"," Kelly Services","  – Center Valley, PA","Business Services","3.4","NA",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"PA"
"74"," Spring Venture Group","  – Kansas City, MO","Insurance","4.4","$61k-$88k(Glassdoor est.)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MO"
"75",NA," San Francisco, CA","Information Technology","4.6","$126k-$175k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA"
"76"," Uber","  – New York, NY","Information Technology","4.2","$90k-$135k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY"
"77",NA,"  – California",NA,"NA","NA",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"ia"
"78"," Remind","  – San Francisco, CA","Information Technology","4.7","$100k-$142k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA"
"79"," Groupon","  – Chicago, IL","Information Technology","3.1","$121k-$172k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"IL"
"80",NA," United States","Media","5.0","$69k-$111k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"es"
"81"," TextRecruit","  – San Jose, CA","Information Technology","4.9","$101k-$154k(Glassdoor est.)",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA"
"82"," IMVU","  – Redwood City, CA","Information Technology","2.9","$128k-$176k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"CA"
"83"," Clarity Insights","  – United States","Information Technology","3.6","$101k-$143k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"es"
"84"," MultiCare Health System","  – Mount Vernon, IA","Health Care","3.5","$64k-$100k(Glassdoor est.)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"IA"
"85"," PKW Associates, Inc","  – Windsor Mill, MD",NA,"4.0","$85k-$135k(Glassdoor est.)",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MD"
"86"," Toptal","  – Remote","Business Services","4.5","$66k-$98k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"te"
"87"," IntraEdge","  – Phoenix, AZ","Information Technology","3.9","$77k-$118k(Glassdoor est.)",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,"AZ"
"88"," PTP","  – Gold River, CA","Information Technology","4.0","$75k-$108k(Glassdoor est.)",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"CA"
"89"," Schneider Electric","  – Andover, MA","Oil, Gas, Energy &amp; Utilities","3.6","$89k-$134k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MA"
"93"," Beyond Finance","  – Boston, MA","Finance","4.5","$85k-$129k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"MA"
"94"," USAA","  – San Antonio, TX","Insurance","3.7","$70k-$107k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"TX"
"95"," StubHub","  – San Francisco, CA","Arts, Entertainment &amp; Recreation","3.4","$126k-$174k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"CA"
"96"," Thumbtack","  – San Francisco, CA","Information Technology","4.5","$105k-$147k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"CA"
"97"," Booz Allen Hamilton","  – San Antonio, TX","Business Services","3.7","$53k-$85k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"TX"
"98"," ServiceChannel","  – New York, NY","Information Technology","4.3","$72k-$107k(Glassdoor est.)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY"
"99"," Grand Rounds","  – San Francisco, CA","Health Care","4.2","$132k-$184k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"CA"
"100"," Eero","  – San Francisco, CA","Information Technology","4.5","$123k-$173k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"CA"
"101",NA,"  – El Segundo, CA","Information Technology","NA","$85k-$134k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA"
"102"," UPMC","  – Pittsburgh, PA","Health Care","3.3","$53k-$83k(Glassdoor est.)",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"PA"
"103"," CA Technologies","  – San Diego, CA","Information Technology","3.2","$92k-$132k(Glassdoor est.)",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"CA"
"104"," MedAmerica","  – Emeryville, CA","Health Care","3.3","$96k-$139k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"CA"
"105",NA,"  – Costa Mesa, CA","Finance","NA","$90k-$135k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"CA"
"106"," Dell","  – Austin, TX","Information Technology","3.7","$75k-$108k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"TX"
"107"," Affirm","  – San Francisco, CA","Finance","4.8","$149k-$207k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA"
"108"," Brunel","  – Netherlands, MO","Oil, Gas, Energy &amp; Utilities","3.6","NA",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"MO"
"109"," Quantum Reservoir Impact","  – Houston, TX","Oil, Gas, Energy &amp; Utilities","3.7","$116k-$172k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"TX"
"110"," Pluralsight","  – Boston, MA","Education","3.9","$124k-$172k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MA"
"111"," TSheets","  – Boise, ID","Information Technology","4.8","$73k-$108k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"ID"
"112",NA," Denver, CO","Information Technology","4.1","NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CO"
"113"," Cargill","  – Minneapolis, MN","Agriculture &amp; Forestry","3.4","$98k-$147k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"MN"
"114"," Interactive Brokers LLC","  – Greenwich, CT","Finance","3.7","$98k-$147k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CT"
"115"," Toyota North America","  – Dallas, TX","Manufacturing","4.0","$66k-$99k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"TX"
"116"," IBG LLC","  – Greenwich, CT","Finance","2.3","$88k-$134k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CT"
"117",NA," San Jose, CA","Arts, Entertainment &amp; Recreation","3.3","$83k-$121k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA"
"119"," Resource Systems Group, Inc","  – San Diego, CA","Business Services","3.6","$77k-$120k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA"
"121"," Epiworks","  – Champaign, IL","Manufacturing","4.7","$66k-$101k(Glassdoor est.)",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"IL"
"122"," NBCNEWS.com","  – New York, NY","Media","3.2","$137k-$207k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"NY"
"123"," Tuft & Needle","  – Mesa, AZ","Retail","5.0","$69k-$100k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"AZ"
"124"," Twitter","  – San Francisco, CA","Information Technology","3.9","$134k-$184k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"CA"
"125"," Capital Group","  – San Antonio, TX","Finance","3.8","$73k-$113k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"TX"
"126"," General Motors","  – Warren, MI","Manufacturing","3.8","$81k-$120k(Glassdoor est.)",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MI"
"127"," Vertical Knowledge","  – Cleveland, OH","Information Technology","4.0","$86k-$123k(Glassdoor est.)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"OH"
"128"," Airware","  – San Francisco, CA","Information Technology","4.2","NA",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA"
"129"," PlaceIQ","  – New York, NY","Information Technology","3.1","$54k-$71k(Glassdoor est.)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NY"
"130"," Workday","  – Pleasanton, CA","Information Technology","3.8","$130k-$181k(Glassdoor est.)",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"CA"
"131"," MITRE","  – Tampa, FL","Business Services","3.7","$103k-$153k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"FL"
"132"," Intel","  – Hillsboro, OR","Information Technology","3.7","$70k-$104k(Glassdoor est.)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"OR"
"133"," SAP","  – Palo Alto, CA","Information Technology","4.3","$100k-$144k(Glassdoor est.)",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"CA"
"134"," Fifth Third Bank","  – Cincinnati, OH","Finance","3.4","$81k-$124k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,"OH"
"135"," Point72","  – Stamford, CT","Finance","4.2","$105k-$160k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CT"
"136"," Swib","  – Madison, WI","Finance","4.7","$54k-$94k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"WI"
"137"," Walmart","  – Plano, TX",NA,"3.2","$77k-$120k(Glassdoor est.)",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"TX"
"138"," City and County of San Francisco","  – San Francisco, CA","Government","3.5","$89k-$129k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA"
"139"," Booz Allen Hamilton Inc.","  – San Antonio, TX","Business Services","3.7","$72k-$112k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"TX"
"140"," Novartis","  – Cambridge, MA","Biotech &amp; Pharmaceuticals","3.6","$79k-$119k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MA"
"141"," NTT DATA","  – Plano, TX","Information Technology","3.2","$72k-$121k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"TX"
"142"," BioFire Diagnostics, LLC.","  – Salt Lake City, UT","Biotech &amp; Pharmaceuticals","4.3","NA",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"UT"
"143"," Login Consulting Services Inc.","  – Plano, TX","Business Services","3.7","NA",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"TX"
"144"," Uber","  – San Francisco, CA","Information Technology","4.2","$105k-$148k(Glassdoor est.)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"CA"
"145"," Stripe","  – San Francisco, CA","Information Technology","4.1","$141k-$196k(Glassdoor est.)",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"CA"
"146"," Univera Healthcare","  – Rochester, NY","Insurance","3.7","$78k-$115k(Glassdoor est.)",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,"NY"
"147"," Lubrizol","  – Hazelwood, MO","Manufacturing","3.7","$72k-$110k(Glassdoor est.)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"MO"
"148"," Bank of America","  – Charlotte, NC","Finance","3.5","$96k-$151k(Glassdoor est.)",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"NC"
